-10	4.375
-9	4.125
-8	3.875
-7	3.625
-6	3.375
-5	3.125
-4	2.875
-3	2.625
-2	2.375
-1	2.125
0	1.875
1	1.625
2	1.375
3	1.125
4	0.875
5	0.625
6	0.375
7	0.125
8	-0.125
9	-0.375
10	-0.625
