0	1
1	0.818182
2	1.89474
3	2.93878
4	0.701583
5	0.359494
6	0.223359
7	0.151598
8	0.108161
9	0.0796378
10	0.0598944
11	0.0457246
12	0.0352888
13	0.027456
14	0.0214926
15	0.0169034
16	0.0133424
17	0.0105611
18	0.00837815
19	0.00665786
20	0.00529807
21	0.00422062
22	0.00336508
23	0.00268483
24	0.00214332
25	0.00171172
26	0.00136745
27	0.00109276
28	0.000873427
29	0.000698254
30	0.000558349
31	0.000446422
32	0.00035701
33	0.000285565
34	0.000228381
35	0.000182633
36	0.000146085
37	0.000116873
38	9.349e-05
